team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Atlanta Hawks,2000,C,E,0.341,-5.38,102.68,108.46,-5.78,-5.41,102.68,108.5,-5.82
Boston Celtics,2000,A,E,0.4270000000000001,-0.76,105.41,106.26,-0.85,-1.0,105.46,106.57,-1.11
Brooklyn Nets,2000,A,E,0.378,-1.04,105.93,107.12,-1.19,-1.18,105.98,107.31,-1.33
Charlotte Hornets,2000,C,E,,,,,,,,,
Chicago Bulls,2000,C,E,0.207,-9.4,95.5,105.93,-10.43,-9.23,95.42,105.65,-10.23
Cleveland Cavaliers,2000,C,E,0.39,-3.5,101.04,104.85,-3.81,-3.64,100.87,104.83,-3.96
Dallas Mavericks,2000,M,W,0.488,-0.57,107.33,107.86,-0.52,-0.28,107.59,107.8,-0.22
Denver Nuggets,2000,M,W,0.4270000000000001,-2.12,104.19,106.44,-2.25,-1.76,104.37,106.23,-1.86
Detroit Pistons,2000,C,E,0.512,1.44,108.14,106.54,1.6,1.13,108.18,106.91,1.27
Golden State Warriors,2000,P,W,0.232,-8.27,100.4,109.04,-8.64,-7.62,100.7,108.65,-7.96
Houston Rockets,2000,M,W,0.415,-0.87,105.53,106.55,-1.02,-0.56,105.72,106.41,-0.69
Indiana Pacers,2000,C,E,0.6829999999999999,4.6,109.17,104.21,4.95,4.16,109.05,104.58,4.47
Los Angeles Clippers,2000,P,W,0.183,-11.52,98.61,110.91,-12.3,-10.73,99.0,110.44,-11.45
Los Angeles Lakers,2000,P,W,0.8170000000000001,8.55,107.85,98.79,9.05,8.41,107.66,98.75,8.92
Memphis Grizzlies,2000,M,W,0.268,-5.62,103.34,109.5,-6.17,-5.1,103.66,109.26,-5.6
Miami Heat,2000,A,E,0.634,3.11,105.39,102.08,3.31,2.75,105.16,102.24,2.92
Milwaukee Bucks,2000,C,E,0.512,0.22,109.07,108.82,0.25,-0.05,109.15,109.19,-0.05
Minnesota Timberwolves,2000,M,W,0.61,2.52,106.98,104.1,2.87,2.67,107.05,104.03,3.02
New Orleans Pelicans,2000,SW,W,0.598,2.67,105.0,102.22,2.79,2.34,104.84,102.41,2.43
New York Knicks,2000,A,E,0.61,1.46,103.1,101.53,1.58,1.3,102.89,101.48,1.4
Oklahoma City Thunder,2000,NW,W,0.5489999999999999,0.95,106.19,105.33,0.87,1.17,106.32,105.21,1.11
Orlando Magic,2000,A,E,0.5,0.68,103.35,102.37,0.97,0.43,103.13,102.44,0.69
